#Table: J/ApJS/95/535/./table15.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|    | I
         |         |         |          |         |         |  |  |y|    |so
         |         |         |          |         |         |  |  |p|    |to
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e|  Jl|pe
---------|---------|---------|----------|---------|---------|--|--|-|----|--
3443.6729|6.348E-04|4.080E+00|63966.9754|1.418E-04|2.636E-33|23|20|P| 138|28
3445.0174|5.760E-04|3.706E+00|65021.8151|1.325E-04|1.530E-33|22|19|P| 142|27
3445.0720|6.073E-04|3.908E+00|63106.5435|1.357E-04|3.702E-33|23|20|P| 138|37
3445.3194|5.796E-04|3.731E+00|62206.3295|1.296E-04|5.273E-33|23|20|P| 138|38
3445.3584|5.920E-04|3.811E+00|62612.6324|1.323E-04|4.496E-33|23|20|P| 138|46
3447.5091|4.973E-04|3.206E+00|65239.7367|1.177E-04|1.225E-33|21|18|P| 146|27
3447.7448|5.546E-04|3.577E+00|64268.1661|1.276E-04|2.065E-33|22|19|P| 142|36
3448.1808|5.505E-04|3.551E+00|64121.0574|1.267E-04|2.189E-33|22|19|P| 142|28
3450.0850|5.264E-04|3.402E+00|63239.2447|1.212E-04|3.104E-33|22|19|P| 142|37
3450.6492|5.130E-04|3.317E+00|62733.1770|1.182E-04|3.792E-33|22|19|P| 142|46
3450.7386|4.787E-04|3.095E+00|64466.9095|1.134E-04|1.668E-33|21|18|P| 146|36
3450.8323|5.023E-04|3.248E+00|62316.9387|1.157E-04|4.469E-33|22|19|P| 142|38
3451.2703|4.751E-04|3.073E+00|64316.0795|1.126E-04|1.771E-33|21|18|P| 146|28
3453.2387|6.955E-04|4.507E+00|65456.2930|1.547E-04|1.500E-33|23|20|P| 137|26
3453.7306|4.542E-04|2.944E+00|63412.0950|1.077E-04|2.539E-33|21|18|P| 146|37
3454.6013|4.426E-04|2.872E+00|62893.4159|1.050E-04|3.120E-33|21|18|P| 146|46
3455.0297|4.333E-04|2.812E+00|62466.8688|1.027E-04|3.695E-33|21|18|P| 146|38
3456.9664|6.023E-04|3.916E+00|65645.5212|1.380E-04|1.223E-33|22|19|P| 141|26
3457.0115|6.624E-04|4.307E+00|64482.6422|1.475E-04|2.209E-33|23|20|P| 137|27
3458.8571|6.374E-04|4.151E+00|63752.3983|1.420E-04|2.945E-33|23|20|P| 137|36
3459.1243|6.327E-04|4.122E+00|63609.8391|1.410E-04|3.116E-33|23|20|P| 137|28
3459.1606|5.204E-04|3.389E+00|65877.4256|1.227E-04|9.733E-34|21|18|P| 145|26
3459.7903|5.780E-04|3.767E+00|61861.0377|1.288E-04|6.196E-33|23|20|P| 137|38
3459.8257|4.473E-04|2.915E+00|66152.3806|1.084E-04|7.536E-34|20|17|P| 149|26
3460.0385|6.055E-04|3.947E+00|62755.1799|1.349E-04|4.363E-33|23|20|P| 137|37
3460.0514|5.903E-04|3.848E+00|62264.5965|1.315E-04|5.290E-33|23|20|P| 137|46
3461.3646|5.738E-04|3.745E+00|64647.1093|1.317E-04|1.823E-33|22|19|P| 141|27
3463.6558|5.526E-04|3.613E+00|63898.5047|1.269E-04|2.455E-33|22|19|P| 141|36
3464.0077|5.485E-04|3.588E+00|63752.3833|1.259E-04|2.601E-33|22|19|P| 141|28
3464.2462|4.953E-04|3.240E+00|64853.3507|1.170E-04|1.468E-33|21|18|P| 145|27
3465.4140|5.246E-04|3.436E+00|62876.5135|1.205E-04|3.678E-33|22|19|P| 141|37
3465.6526|5.007E-04|3.280E+00|61960.4599|1.150E-04|5.279E-33|22|19|P| 141|38
3465.6607|4.255E-04|2.786E+00|65101.7396|1.033E-04|1.151E-33|20|17|P| 149|27
3465.6976|5.114E-04|3.350E+00|62373.8724|1.175E-04|4.486E-33|22|19|P| 141|46
3467.0281|4.768E-04|3.127E+00|64085.7072|1.127E-04|1.994E-33|21|18|P| 145|36
3467.4734|4.732E-04|3.104E+00|63935.8916|1.119E-04|2.116E-33|21|18|P| 145|28
3468.9784|4.094E-04|2.689E+00|64314.3775|9.949E-05|1.578E-33|20|17|P| 149|36
3469.4229|4.525E-04|2.973E+00|63038.0163|1.070E-04|3.024E-33|21|18|P| 145|37
3469.5258|4.064E-04|2.670E+00|64160.7357|9.876E-05|1.678E-33|20|17|P| 149|28
3469.6794|6.933E-04|4.558E+00|65088.5497|1.538E-04|1.783E-33|23|20|P| 136|26
3470.0056|4.410E-04|2.899E+00|62522.8605|1.043E-04|3.710E-33|21|18|P| 145|46
3470.2000|4.317E-04|2.838E+00|62099.2193|1.021E-04|4.387E-33|21|18|P| 145|38
3472.0693|3.883E-04|2.557E+00|63240.0578|9.443E-05|2.423E-33|20|17|P| 149|37
3472.8767|6.605E-04|4.354E+00|64121.3938|1.467E-04|2.617E-33|23|20|P| 136|27
3472.9797|3.782E-04|2.493E+00|62711.9291|9.201E-05|2.990E-33|20|17|P| 149|46
3473.4365|3.701E-04|2.440E+00|62277.6830|9.005E-05|3.553E-33|20|17|P| 149|38
3473.8114|6.002E-04|3.960E+00|65265.8380|1.372E-04|1.462E-33|22|19|P| 140|26
3474.1782|5.764E-04|3.804E+00|61517.4851|1.280E-04|7.275E-33|23|20|P| 136|38
3474.3004|6.354E-04|4.194E+00|63396.0504|1.411E-04|3.479E-33|23|20|P| 136|36
3474.4863|6.308E-04|4.164E+00|63254.4501|1.401E-04|3.679E-33|23|20|P| 136|28
3474.6601|5.886E-04|3.886E+00|61918.3023|1.308E-04|6.219E-33|23|20|P| 136|46
3474.9187|6.037E-04|3.987E+00|62405.5606|1.341E-04|5.137E-33|23|20|P| 136|37
3476.4110|5.182E-04|3.426E+00|65485.8338|1.220E-04|1.169E-33|21|18|P| 144|26
3477.4828|4.452E-04|2.946E+00|65748.9186|1.077E-04|9.105E-34|20|17|P| 148|26
3477.6187|5.718E-04|3.784E+00|64274.1105|1.309E-04|2.171E-33|22|19|P| 140|27
3479.4766|5.507E-04|3.651E+00|63530.5513|1.261E-04|2.916E-33|22|19|P| 140|36
3479.7451|5.466E-04|3.624E+00|63385.4171|1.252E-04|3.088E-33|22|19|P| 140|28
3480.3900|4.991E-04|3.311E+00|61605.6852|1.143E-04|6.231E-33|22|19|P| 140|38
3480.6568|5.229E-04|3.470E+00|62515.4893|1.198E-04|4.354E-33|22|19|P| 140|37
3480.6615|5.097E-04|3.382E+00|62016.2733|1.168E-04|5.302E-33|22|19|P| 140|46
3480.8900|4.933E-04|3.274E+00|64468.6278|1.162E-04|1.757E-33|21|18|P| 144|27
3482.6954|4.235E-04|2.815E+00|64705.3259|1.026E-04|1.386E-33|20|17|P| 148|27
3483.2273|4.749E-04|3.158E+00|63706.1709|1.120E-04|2.381E-33|21|18|P| 144|36
3483.5869|4.714E-04|3.136E+00|63557.3702|1.112E-04|2.526E-33|21|18|P| 144|28
3485.0287|4.508E-04|3.002E+00|62665.6054|1.064E-04|3.599E-33|21|18|P| 144|37
3485.2872|4.301E-04|2.865E+00|61733.2370|1.015E-04|5.206E-33|21|18|P| 144|38
3485.3253|4.393E-04|2.927E+00|62153.9728|1.037E-04|4.408E-33|21|18|P| 144|46
3485.5568|4.076E-04|2.716E+00|63923.2879|9.885E-05|1.895E-33|20|17|P| 148|36
3486.0161|4.046E-04|2.697E+00|63770.6879|9.812E-05|2.014E-33|20|17|P| 148|28
3486.0233|6.912E-04|4.608E+00|64722.5752|1.529E-04|2.117E-33|23|20|P| 135|26
3488.0390|3.866E-04|2.581E+00|62856.2848|9.382E-05|2.899E-33|20|17|P| 148|37
3488.4834|5.748E-04|3.841E+00|61175.6886|1.273E-04|8.533E-33|23|20|P| 135|38
3488.6492|6.586E-04|4.401E+00|63761.9138|1.458E-04|3.097E-33|23|20|P| 135|27
3488.6558|3.766E-04|2.516E+00|62331.7752|9.141E-05|3.571E-33|20|17|P| 148|46
3488.8741|3.686E-04|2.463E+00|61900.5137|8.947E-05|4.238E-33|20|17|P| 148|38
3489.1845|5.870E-04|3.925E+00|61573.7671|1.300E-04|7.305E-33|23|20|P| 135|46
3489.6538|6.335E-04|4.237E+00|63041.4690|1.403E-04|4.107E-33|23|20|P| 135|36
3489.7129|6.020E-04|4.027E+00|62057.7034|1.333E-04|6.043E-33|23|20|P| 135|37
3489.7589|6.289E-04|4.207E+00|62900.8272|1.393E-04|4.340E-33|23|20|P| 135|28
3490.5595|5.982E-04|4.004E+00|64887.8796|1.364E-04|1.746E-33|22|19|P| 139|26
3493.5643|5.161E-04|3.463E+00|65095.9206|1.212E-04|1.404E-33|21|18|P| 143|26
3493.7798|5.697E-04|3.824E+00|63902.8388|1.301E-04|2.583E-33|22|19|P| 139|27
3495.0424|4.431E-04|2.977E+00|65347.0871|1.070E-04|1.099E-33|20|17|P| 147|26
3495.0446|4.976E-04|3.343E+00|61252.6319|1.136E-04|7.348E-33|22|19|P| 139|38
3495.2075|5.488E-04|3.688E+00|63164.3249|1.253E-04|3.461E-33|22|19|P| 139|36
3495.3929|5.448E-04|3.661E+00|63020.1779|1.244E-04|3.664E-33|22|19|P| 139|28
3495.5412|5.081E-04|3.415E+00|61660.3976|1.161E-04|6.261E-33|22|19|P| 139|46
3495.8134|5.212E-04|3.504E+00|62156.1903|1.191E-04|5.151E-33|22|19|P| 139|37
3497.4407|4.913E-04|3.307E+00|64085.5887|1.155E-04|2.103E-33|21|18|P| 143|27
3499.3362|4.731E-04|3.190E+00|63328.3205|1.113E-04|2.842E-33|21|18|P| 143|36
3499.6107|4.696E-04|3.167E+00|63180.5350|1.105E-04|3.013E-33|21|18|P| 143|28
3499.6366|4.216E-04|2.844E+00|64310.5506|1.020E-04|1.667E-33|20|17|P| 147|27
3500.2915|4.286E-04|2.892E+00|61368.9398|1.008E-04|6.171E-33|21|18|P| 143|38
3500.5483|4.491E-04|3.032E+00|62294.8811|1.057E-04|4.281E-33|21|18|P| 143|37
3500.5606|4.378E-04|2.955E+00|61786.7711|1.030E-04|5.233E-33|21|18|P| 143|46
3502.0447|4.058E-04|2.743E+00|63533.8409|9.822E-05|2.273E-33|20|17|P| 147|36
3502.2706|6.891E-04|4.659E+00|64358.3899|1.520E-04|2.510E-33|23|20|P| 134|26
3502.4167|4.028E-04|2.723E+00|63382.2834|9.749E-05|2.415E-33|20|17|P| 147|28
3502.7059|5.734E-04|3.878E+00|60835.6648|1.265E-04|1.000E-32|23|20|P| 134|38
3503.6248|5.855E-04|3.963E+00|61231.0079|1.292E-04|8.572E-33|23|20|P| 134|46
3503.9222|3.850E-04|2.606E+00|62474.1581|9.322E-05|3.466E-33|20|17|P| 147|37
3504.2287|3.671E-04|2.485E+00|61524.9915|8.889E-05|5.050E-33|20|17|P| 147|38
3504.2474|3.750E-04|2.539E+00|61953.2681|9.082E-05|4.261E-33|20|17|P| 147|46
3504.3289|6.567E-04|4.448E+00|63404.2214|1.450E-04|3.662E-33|23|20|P| 134|27
3504.4211|6.004E-04|4.067E+00|61711.6256|1.325E-04|7.104E-33|23|20|P| 134|37
3504.9174|6.316E-04|4.281E+00|62688.6727|1.395E-04|4.843E-33|23|20|P| 134|36
3504.9422|6.271E-04|4.250E+00|62548.9888|1.385E-04|5.116E-33|23|20|P| 134|28
