#Table: J/ApJS/95/535/./table10.dat (cdsarc.u-strasbg.fr)
------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|
         |         |         |          |         |         |  |  |y|
         |         |         |          |         |         |  |  |p|
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e| Jl
---------|---------|---------|----------|---------|---------|--|--|-|---
3870.2410|3.247E-03|2.937E+01|32009.3643|5.967E-04|5.588E-26| 9| 7|R|100
3895.4577|1.159E-03|1.071E+01|38649.6626|2.887E-04|1.122E-27| 5| 3|R|135
3896.2532|1.826E-03|1.129E+01|14449.1813|3.345E-06|1.427E-24| 9| 7|R|  0
3899.3155|2.536E-03|2.303E+01|17156.1253|9.761E-05|1.137E-23|10| 8|R| 20
3910.4580|9.493E-04|9.129E+00|11221.8547|3.490E-05|7.010E-23| 7| 5|P| 20
3925.8580|2.521E-03|2.380E+01|30200.9409|4.700E-04|1.053E-25| 8| 6|R|100
3948.3311|1.402E-03|9.019E+00|12463.7686|2.602E-06|2.890E-24| 8| 6|R|  0
3951.9372|2.008E-03|1.898E+01|15204.1184|7.835E-05|2.339E-23| 9| 7|R| 20
3953.0947|6.970E-04|6.727E+00|36881.6266|1.762E-04|1.606E-27| 4| 2|R|135
3962.0968|6.662E-04|6.664E+00| 9191.4507|2.482E-05|1.326E-22| 6| 4|P| 20
3981.6285|1.887E-03|1.859E+01|28366.3694|3.567E-04|1.936E-25| 7| 5|R|100
4000.5592|1.036E-03|6.936E+00|10452.2222|1.949E-06|5.705E-24| 7| 5|R|  0
4004.7127|1.544E-03|1.519E+01|13226.0530|6.105E-05|4.727E-23| 8| 6|R| 20
4010.8743|3.484E-04|3.512E+00|35087.0708|8.935E-05|1.936E-27| 3| 1|R|135
4013.8793|4.359E-04|4.533E+00| 7134.7700|1.645E-05|2.366E-22| 5| 3|P| 20
4037.5497|1.344E-03|1.381E+01|26505.5749|2.577E-04|3.429E-25| 6| 4|R|100
4052.9343|7.284E-04|5.069E+00| 8414.4693|1.388E-06|1.084E-23| 6| 4|R|  0
4057.6387|1.144E-03|1.170E+01|11221.8547|4.582E-05|9.317E-23| 7| 5|R| 20
4065.8022|2.561E-04|2.768E+00| 5051.7432|9.789E-06|3.840E-22| 4| 2|P| 20
4068.7922|1.162E-04|1.223E+00|33265.9252|3.022E-05|1.575E-27| 2| 0|R|135
4093.6182|8.922E-04|9.551E+00|24618.4838|1.734E-04|5.730E-25| 5| 3|R|100
4105.4531|4.770E-04|3.451E+00| 6350.4391|9.206E-07|1.943E-23| 5| 3|R|  0
4110.7120|8.058E-04|8.573E+00| 9191.4507|3.270E-05|1.768E-22| 6| 4|R| 20
4117.8620|1.249E-04|1.403E+00| 2942.3028|4.836E-06|5.239E-22| 3| 1|P| 20
4149.8303|5.329E-04|5.942E+00|22705.0248|1.050E-04|8.724E-25| 4| 2|R|100
4158.1121|2.807E-04|2.109E+00| 4260.0622|5.486E-07|3.169E-23| 4| 2|R|  0
4163.9292|5.285E-04|5.844E+00| 7134.7700|2.173E-05|3.162E-22| 5| 3|R| 20
4170.0551|4.057E-05|4.731E-01|  806.3828|1.591E-06|4.819E-22| 2| 0|P| 20
4206.1822|2.653E-04|3.081E+00|20765.1284|5.299E-05|1.121E-24| 3| 1|R|100
4210.9080|1.373E-04|1.072E+00| 2143.2711|2.718E-07|4.350E-23| 3| 1|R|  0
4217.2869|3.116E-04|3.580E+00| 5051.7432|1.297E-05|5.149E-22| 4| 2|R| 20
4262.6697|8.786E-05|1.062E+00|18798.7272|1.778E-05|9.700E-25| 2| 0|R|100
4263.8372|4.468E-05|3.621E-01|    0.0000|8.957E-08|4.022E-23| 2| 0|R|  0
4270.7816|1.530E-04|1.825E+00| 2942.3028|6.450E-06|7.068E-22| 3| 1|R| 20
4324.4098|4.992E-05|6.183E-01|  806.3828|2.131E-06|6.529E-22| 2| 0|R| 20
------------------------------------------------------------------------
