wno(vac) wavel(air) v  v Branch N" noINmeanVALUE
28443.0370  3514.840  2  1 R2   72  1
28441.2700  3515.059  1  0 R1   73  1
28440.7190  3515.127  1  0 R2   73  1
28435.9340  3515.718  4  3 R1   78  1
28435.3200  3515.794  4  3 R2   78  1
28434.8630  3515.851  2  1 R1   71  1
28434.2520  3515.926  2  1 R2   71  1
28431.7070  3516.241  1  0 R1   72  1
28431.1520  3516.310  1  0 R2   72  1
28429.7710  3516.480  4  3 R1   77  1
28429.0840  3516.565  4  3 R2   77  1
28426.1250  3516.932  2  1 R1   70  1
28425.4790  3517.011  2  1 R2   70  1
28423.5760  3517.247  4  3 R1   76  1
28422.9140  3517.329  4  3 R2   76  1
28417.3930  3518.012  2  1 R1   69  1
28416.7640  3518.090  2  1 R2   69  1
28412.0230  3518.677  1  0 R1   70  1
28411.5450  3518.736  1  0 R2   70  1
28410.3460  3518.885  3  2 R1   69  1
28409.7600  3518.957  3  2 R2   69  1
28408.7700  3519.080  2  1 R1   68  1
28408.1560  3519.156  2  1 R2   68  1
28404.6700  3519.588  4  3 R1   73  1
28403.9630  3519.676  4  3 R2   73  1
28402.6410  3519.839  1  0 R1   69  1
28402.0900  3519.908  1  0 R2   69  1
28400.1700  3520.146  2  1 R1   67  1
28399.5510  3520.222  2  1 R2   67  1
28398.3200  3520.375  4  3 R1   72  1
28397.6000  3520.464  4  3 R2   72  1
28395.1460  3520.768  3  2 R1   67  1
28394.5450  3520.843  3  2 R2   67  1
28393.0820  3521.024  1  0 R1   68  1
28392.5410  3521.092  1  0 R2   68  1
28391.6460  3521.203  2  1 R1   66  1
28391.0350  3521.278  2  1 R2   66  1
28387.5550  3521.710  3  2 R1   66  1
28386.9390  3521.786  3  2 R2   66  1
28385.5680  3521.956  4  3 R1   70  1
28384.8220  3522.049  4  3 R2   70  1
28383.6660  3522.192  1  0 R1   67  1
28383.1780  3522.253  1  0 R2   67  1
28383.1780  3522.253  2  1 R1   65  1
28382.4550  3522.343  2  1 R2   65  1
28379.9770  3522.650  3  2 R1   65  1
28379.3110  3522.733  3  2 R2   65  1
28372.4160  3523.589  3  2 R1   64  1
28371.8810  3523.656  3  2 R2   64  1
28370.1370  3523.872  5  4 R1   80  1
28369.3810  3523.966  5  4 R2   80  1
28366.3540  3524.342  2  1 R1   63  1
28365.7360  3524.419  2  1 R2   63  1
28364.9570  3524.516  1  0 R1   65  1
28364.3690  3524.589  1  0 R2   65  1
28361.7380  3524.916  5  4 R1   78  1
28360.8590  3525.025  5  4 R2   78  1
28360.1840  3525.109  4  3 R1   66  1
28359.4690  3525.198  4  3 R2   66  1
28358.5590  3525.311  2  1 R1   62  1
28357.9450  3525.387  2  1 R2   62  1
28357.4000  3525.455  3  2 R1   62  1
28356.7050  3525.541  3  2 R2   62  1
28355.7620  3525.659  1  0 R1   64  1
28355.2380  3525.724  1  0 R2   64  1
28349.9000  3526.388  2  1 R1   61  1
28349.2830  3526.464  2  1 R2   61  1
28346.5840  3526.800  1  0 R1   63  1
28346.0620  3526.865  1  0 R2   63  1
28342.4550  3527.314  3  2 R1   60  1
28341.8050  3527.395  3  2 R2   60  1
28340.4590  3527.562  2  1 R1   60  1
28340.1050  3527.606  2  1 R2   60  1
28337.4730  3527.934  1  0 R1   62  1
28337.0490  3527.987  1  0 R2   62  1
28335.0370  3528.237  3  2 R1   59  1
28334.4180  3528.314  3  2 R2   59  1
28328.4300  3529.060  1  0 R1   61  1
28327.7790  3529.141  1  0 R2   61  1
28327.0250  3529.235  3  2 R1   58  1
28326.1520  3529.344  3  2 R2   58  1
28324.2950  3529.575  2  1 R1   58  1
28323.7270  3529.646  2  1 R2   58  1
28322.6580  3529.779  5  4 R1   70  1
28322.0570  3529.854  5  4 R2   70  1
28320.3260  3530.070  3  2 R1   57  1
28319.5290  3530.169  1  0 R1   60  1
28319.5290  3530.169  3  2 R2   57  1
28318.8980  3530.248  1  0 R2   60  1
28317.8850  3530.374  5  4 R1   69  1
28317.2540  3530.453  5  4 R2   69  1
28316.1860  3530.586  2  1 R1   57  1
28315.6740  3530.650  2  1 R2   57  1
28310.5270  3531.292  1  0 R1   59  1
28310.0140  3531.356  1  0 R2   59  1
28305.8400  3531.877  3  2 R1   55  1
28305.1150  3531.967  3  2 R2   55  1
28303.0620  3532.223  5  4 R1   66  1
28302.3590  3532.311  5  4 R2   66  1
28301.6930  3532.394  1  0 R1   58  1
28301.0840  3532.470  1  0 R2   58  1
28300.1860  3532.582  2  1 R1   55  1
28299.5940  3532.656  2  1 R2   55  1
28294.5740  3533.283  4  3 R1   56  1
28293.9750  3533.358  4  3 R2   56  1
28292.9180  3533.490  1  0 R1   57  1
28292.2440  3533.574  1  0 R2   57  1
28292.2440  3533.574  2  1 R1   54  1
28291.6310  3533.650  2  1 R2   54  1
28288.2250  3534.076  4  3 R1   55  1
28287.6740  3534.145  4  3 R2   55  1
28284.2930  3534.567  1  0 R1   56  1
28283.7400  3534.636  1  0 R2   56  1
28281.8810  3534.869  4  3 R1   54  1
28281.2620  3534.946  4  3 R2   54  1
28276.4450  3535.548  2  1 R1   52  1
